first_name,company_name,email,city,state,website,source_url,score,quality_confidence,personalization_note,status,contact_name,contact_title,email_type,attorney_headcount,contact_form_url,phone,tier,opportunity_type,contact_rationale,email_status,email_superseded,email_obfuscated,contact_note
Peng,R23 Law APC,info@R23Law.com,Los Angeles,CA,https://www.r23law.com/,https://www.r23law.com/articles/home-solar,100,high,"Firm published a dedicated article ('Tricked by Home Solar Sales? Turning the Tables on Unfair Practices with Available Legal Remedies') that applies the CLRA, Home Solicitation Sales Act, TILA, and specifically the FTC Holder Rule to solar sales scenarios -- demonstrating exactly the legal-theory f",needs_verification,,,,,,1 (888) 533-2948,A,warm_buyer,,,,,
D.,"The Martinez Law Firm, P.A.",dmartinez@themartinezfirm.com,Hialeah,FL,https://themartinezfirm.com,https://themartinezfirm.com/solar-panel-fraud-attorney-hialeah-florida/,100,high,"Solar-specific landing page states: ""We investigate your case thoroughly, gather the necessary documentation, and build a legal strategy with you in order to help ensure your rights are protected"" regarding solar panel fraud and disputes.",needs_verification,,,,,,786-536-5221,A,warm_buyer,,,,,
Dennis,Stonegate Law Firm,hello@stonegatelawfirm.com,Canton,OH,https://stonegatelawfirm.com,https://stonegatelawfirm.com/practice-areas/solar-contract-cancellation/,95,medium,"No blog or FAQ section on the page -- a single static page with no supporting content cluster. Also worth flagging to the firm: the same page appears to be targeting multiple states' search traffic despite only one state bar license being shown on-page, which is a positioning/credibility gap a conte",needs_verification,Dennis Donovan,Founder / Managing Attorney,,"2 (Dennis Donovan - Founder/Managing Attorney; Matthew Barnes - Of Counsel), plus 8 paralegals/case managers listed",https://stonegatelawfirm.com/contact-us/,+1 (855) 502-9902,A,warm_buyer,"Explicitly listed as ""Founder / Managing Attorney"" on the firm's Our Team page; sole attorney-owner of a 2-attorney firm","on_file — could not re-verify, no emails published on site",,yes - consider calling instead,"No email address (plain text, mailto:, or Cloudflare-obfuscated) appears anywhere in the raw HTML of the homepage, about-us, our-team, or contact-us pages -- the site relies entirely on a contact form and phone number. The current_email on file (hello@stonegatelawfirm.com) could not be independently re-verified in the fetched HTML, so it is not listed under emails_found."
W.,"Hollington Law Firm, LLC",info@hollingtonlawfirm.com,Englewood,CO,https://hollingtonlawfirm.com/,https://hollingtonlawfirm.com/articles/solar-panel-scams-in-colorado,90,high,"Dedicated long-form article '/articles/solar-panel-scams-in-colorado' stating: 'We represent homeowners across Colorado who have been misled or financially harmed by solar companies.' Covers common deceptive tactics, legal rights, and protective measures specific to Colorado.",needs_verification,W. Neal Hollington,Founder and Lead Attorney,general,"1 attorney (W. Neal Hollington); Keri Hanson is listed as a paralegal, not an attorney",https://hollingtonlawfirm.com/contact,(303) 276-2647,A,warm_buyer,solo/small firm - explicitly named 'the firm's founder and lead attorney' on the About page,corrected — on-file address used a domain that is not the firm's site,info@hollawfirm.com,,"Worklist's current_email (info@hollawfirm.com) does not match what the live site publishes; site's actual mailto is info@hollingtonlawfirm.com, recorded here instead. No personal/direct email found for Hollington or Hanson on their bio pages - only the general inbox. Keri Hanson is a paralegal (not an attorney/DM candidate)."
Mollie,LS Carlson Law,mstreit@lscarlsonlaw.com,,CA,https://www.lscarlsonlaw.com/,https://www.lscarlsonlaw.com/solar-disputes,90,high,No physical address displayed on the solar disputes page -- a local-SEO/trust-signal gap.,needs_verification,Mollie Streit,Director of Client Services,decision_maker_direct,32,https://www.lscarlsonlaw.com/contact,(949) 421-3030,A,warm_buyer,"32-attorney larger firm; no marketing director/CMO/BD role found on site, but a Director of Client Services exists (an explicitly acceptable role for larger firms) with a published direct email",verified_on_site,,,"Large HOA-litigation firm (2 managing partners, 6 partners, 13 senior associates, 11 associates = 32 attorneys). Prefer named marketing/BD contact was not found - closest is Julia Melnick, Director of Administration, and Wayne Teats, Director of Billing Services (titles seen on team roster but their individual emails were not confirmed). Founder & CEO Luke Carlson (lcarlson@lscarlsonlaw.com) is a strong alternate contact if a higher-authority approver is wanted."
Patrick,"Marrs Griebel Law, LTD",info@marrslegal.com,Albuquerque,NM,https://marrslegal.com/,https://marrslegal.com/practice-areas/solar-panel-scams/,90,high,"No blog or FAQ section on the solar practice page -- a standalone page with no supporting content cluster, in a state (New Mexico) where competition for this keyword otherwise looks thin.",needs_verification,,,,,,(505) 433-3926,A,warm_buyer,,,,,
Jose,"The Diaz Law Firm, P.A.",jose@thediazlawfirm.com,Hialeah,FL,https://thediazlawfirm.com,https://thediazlawfirm.com/lawyer-solar-panel-fraud-lies-scams-and-unfair-contracts/,90,high,"Page names specific target companies: handles cases involving ""Titan Solar Power and MC Solar"" and states ""If you believe you have been a victim of fraud, scams, or unfair contracts by a solar panel company... The Diaz Law Firm, P.A. can help!""",needs_verification,,,,,,305-271-7766,A,warm_buyer,,,,,
Noel,Rivers Law Firm LLC,noel@riverslaw.net,West Caldwell,NJ,https://www.riverslaw.net,https://www.riverslaw.net/solar-panel-litigation,85,high,"Dedicated 'Solar Panel Litigation' practice page describes deceptive '$0 down / free' solar pitches, misrepresented federal tax-credit value, non-performing systems, and 25-year lease obligations that bind heirs and complicate home sales. Separately, the firm publicized a Sussex County, NJ Superior",needs_verification,Noel Rivers,Esq. (sole attorney/owner of the eponymous firm),decision_maker_direct,1 (solo practice),https://www.riverslaw.net/about-us,201-706-0188,A,low_signal,Sole named attorney of an eponymous solo firm; only possible decision-maker,verified_on_site,,yes - consider calling instead,"Personal direct email (noel@riverslaw.net) published via a real mailto: link on the About Us page -- matches current_email on file, confirming it as her direct/personal address rather than a generic info@ inbox. No obfuscation. Wix-hosted site; unrelated sentry.wixpress.com addresses in the raw HTML are error-tracking artifacts, not contact emails, and were excluded."
Craig,Thrift McLemore,info@thriftlegal.com,Atlanta,GA,https://thriftlegal.com,https://thriftlegal.com/practice-areas/solar-panel-fraud/,85,medium,"Practice page advises Georgia consumers: ""If you have already signed a contract for solar panels and regretted it the moment the salesperson left, there is good news. In Georgia, a consumer has three business days to cancel certain types of contracts.""",needs_verification,Craig Thrift,Attorney,general,24,https://thriftlegal.com/contact/,(678) 882-0830,A,warm_buyer,"Co-founder (firm name derives from his and co-founder Ryan McLemore's surnames); no dedicated marketing/BD or firm-administrator role was found despite a 24-attorney headcount, so a founding partner is the fallback.",verified_on_site,,,"Co-founders are Craig Thrift and Ryan McLemore (confirmed via the firm's own bio page at thriftlegal.com/team/craig-thrift/, surfaced through web search). Neither founder's bio page publishes a personal email or an explicit 'managing/founding partner' title — Craig Thrift's own page lists him simply as 'Attorney.' info@thriftlegal.com is the best verified contact route."
Elliot,"Conn Law, PC",elliot@connlawpc.com,San Francisco,CA,https://connlawpc.com/,https://connlawpc.com/blog/caveat-vendor-californias-home-solicitation-sales-act/,80,high,"Blog post: 'Conn Law, PC is currently investigating Home Solicitation Sales Act violations in the solar energy industry, where the contracts themselves comply with the Act, but salespeople engage in numerous violations.'",needs_verification,Elliot Conn,Founder,decision_maker_direct,3,https://connlawpc.com/contact,415-417-2780,A,warm_buyer,Small firm (3 attorneys); founder is the decision-maker and has a published direct email,verified_on_site,,,"Elliot Conn's email was published in the homepage's own JSON-LD schema.org structured data ('founder': {'name':'Elliot Conn','email':'elliot@connlawpc.com'}) - exact characters read directly from the page's source. /contact, /about, /our-attorneys and the attorney bio page were all blocked by a bot-check (redirects to /.well-known/sgcaptcha/) even though the homepage itself loaded fine, so this firm is only partially fetch-blocked. Two offices: San Francisco (415-417-2780) and Los Angeles (213-224-9200)."
Jason,Ingber Law Group (Law Office of Jason Ingber),ji@jasoningber.com,Los Angeles,CA,https://jasoningber.com,https://jasoningber.com/sungage-lawsuit-filed-over-solar-loan-fraud/,80,high,"Filed Beatty v. Sungage Financial LLC, et al. (Case No. 1:25-at-00443, E.D. Cal., filed Oct. 15, 2025) against Sungage Financial, NBT Bank, Sunmade Energy and PG&E, alleging a 'zero-interest'/transferability bait-and-switch scheme that concealed tens of thousands of dollars in loan costs, asserting",needs_verification,Jason Ingber,,decision_maker_direct,1,https://jasoningber.com/,(213) 805-8373,A,warm_buyer,Solo practice — the firm is literally 'Law Office of Jason Ingber'; he is the sole named attorney and decides everything.,verified_on_site,,yes - consider calling instead,"Email was published via Cloudflare email-obfuscation (data-cfemail hex encoding) in the footer's 'E mail' block, not a plain mailto link — decoded from the exact bytes present in the fetched page's raw HTML using the standard, deterministic, reversible Cloudflare algorithm (the same thing a browser does for a human reader), not inferred or pattern-guessed. No individual bio/about page exists (both /contact/ and /about/ 404); no explicit job title (e.g. 'Founder') appears anywhere on the site, only descriptive text ('Led by Jason Ingber, a seasoned trial lawyer')."
Richard,Silver Golub & Teitell LLP,info@sgtlaw.com,Stamford,CT,https://www.sgtlaw.com,https://www.mnd.uscourts.gov/content/dividend-solar-finance-llc-and-fifth-third-bank-sales-and-lending-practices-litigation,77,high,"Partner Ian W. Sloss serves as interim co-lead counsel in MDL No. 3128 against Dividend Solar Finance and Fifth Third Bank. Firm's own press release covers the August 22, 2025 ruling allowing fraud and TILA claims to proceed over concealed 'platform fees' (10-30% of system value) baked into loan pri",needs_verification,Richard A. Silver,Partner,general,~23 (attorneys listing page has 23 individual bio links),https://www.sgtlaw.com/contact,(203) 325-4491,A,gap_buyer,"firm has ~23 attorneys (20+) but no marketing director/CMO/BD/client-services role was found published anywhere on the site; fell back to a named partner - the firm's own About text lists 'our named partners' as Richard Silver, David S. Golub, and Ernie Teitell (in that order), all titled simply 'Partner' with no managing-partner designation found",verified_on_site,,yes - consider calling instead,"No individual attorney has a published direct email - every bio page and the contact page only expose info@sgtlaw.com (in one spot HTML-entity-encoded as &#105;&#110;f&#111;&#64;s&#103;&#116;l&#97;&#119;.com, which decodes to the same info@sgtlaw.com already found in plain mailto links elsewhere, so no new address was revealed). No managing partner, firm administrator, or marketing/BD role publicly named; three co-equal named partners (Silver, Golub, Teitell) share top billing. Ian W. Sloss and David Golub are alternative name-partner contacts if preferred."
Scott,Jeeves Law Group,contact@jeeveslawgroup.com,St. Petersburg,FL,https://jeeveslawgroup.com,https://jeeveslawgroup.com/solar-fraud,75,high,"Dedicated solar fraud page states: ""Solar fraud refers to deceptive practices in the solar industry that deceive consumers, waste resources, or exploit various loopholes in regulations.""",needs_verification,,,,,,(727) 894-2929,A,low_signal,,,,,
Todd,"Turner & Turner, P.A.",info@tandtlaw.net,Arkadelphia,AR,https://tandtlaw.net,https://arkadelphian.com/2025/02/13/arkadelphia-attorney-files-lawsuit-against-solar-panel-company-for-unlawful-sales-tactics/,75,high,"News coverage confirms attorney Todd Turner (partner at Turner & Turner) filed suit on behalf of client Felicia Smith against Nivo Solar LLC and lender Solar Mosaic LLC, alleging violations of the Arkansas Home Solicitation Sales Act and Deceptive Trade Practices Act via unlawful door-to-door sales",needs_verification,,,,,,(870) 246-9844,A,warm_buyer,,,,,
Amy,Berger Montague PC,info@bergermontague.com,Minneapolis,MN,https://www.bergermontague.com,https://www.mnd.uscourts.gov/content/dividend-solar-finance-llc-and-fifth-third-bank-sales-and-lending-practices-litigation,72,high,"E. Michelle Drake (Minneapolis office) is court-designated Plaintiffs' Liaison Counsel in MDL No. 3128 against Dividend Solar Finance and Fifth Third Bank, per the D. Minnesota court's official MDL docket page.",needs_verification,Amy Wall-Monte,Marketing Director,decision_maker_direct,"118+ attorneys firmwide (large national firm with offices in Philadelphia, Minneapolis, Washington DC, San Diego, and Canada -- Minneapolis, the worklist's listed city, is only one of several offices)",https://bergermontague.com/contact-us/,(800) 424-6690,A,gap_buyer,"Firm-wide Marketing Director at a 118+ attorney national plaintiffs' firm -- explicitly the marketing role, preferred per the sizing rule over an individual litigating attorney",verified_on_site,,yes - consider calling instead,"Berger Montague is a large national firm (118+ attorneys across 5+ offices), not a small Minneapolis outfit as the worklist headcount implies. Found a genuine Marketing Director, Amy Wall-Monte -- her staff card and individual bio page both publish her contact as the shared info@bergermontague.com rather than a personal address, alongside her own direct phone (215-875-3021). E. Michelle Drake (the attorney named in the worklist) is an Executive Shareholder in the Minneapolis office with her own confirmed direct email (emdrake@bergermontague.com) and phone (612-594-5933), included as a fallback attorney contact. No obfuscation encountered."
Francisco,Guerra LLP,fguerra@guerrallp.com,San Antonio,TX,https://guerrallp.com,https://guerrallp.com/class-actions,70,medium,"Firm's Class Actions page carries a 'SOLAR PANELS' section stating 'Guerra LLP is currently accepting new clients' for solar panel matters, within a firm otherwise focused on mass tort, product liability, and commercial litigation. Evidence is a solicitation heading rather than detailed case narrati",needs_verification,"Francisco ""Frank"" Guerra IV",Capital Partner; Managing Partner of the San Antonio office (since 2001),decision_maker_direct,34,,210-447-0500,A,low_signal,"Large firm (~34 attorneys); no marketing director, CMO, BD lead, or client services director found anywhere on the site, so the managing/capital partner is the best-identified decision maker, and he has a direct published email",verified_on_site,,,No traditional contact form found on the /contact page -- the site instead offers live chat and click-to-call. No dedicated marketing/business-development/client-services role identified on About Us or Our Office pages despite the firm's size.
Jimmy,"Young Morphis Bach & Taylor, LLP",jimmys@hickorylaw.com,Hickory,NC,https://www.hickorylaw.com,https://www.hickorylaw.com/page/pinkenergy,70,high,"General-practice NC firm; attorney Jimmy Summerlin ""has been appointed by the Bankruptcy Court as the Chapter 7 Trustee in charge of collecting and liquidating Pink Energy's assets"" following the PowerHome Solar/Pink Energy collapse. This is neutral bankruptcy-estate administration, not homeowner-si",needs_verification,Jimmy R. Summerlin Jr.,Partner,decision_maker_direct,"10 total team members per site's own schema markup: 6 Partners (Paul E. Culpepper, Jordan L. Faulkner, Kevin C. McIntosh, Jimmy R. Summerlin Jr., Timothy D. Swanson, Terry M. Taylor), 1 Attorney (John W. Crone III), 3 Associates (Claude S. Abernethy IV, Julia J. Eurey, Belinda Setzer)",https://www.hickorylaw.com/contact,(828) 322-4663,A,warm_buyer,"mid-size firm (10 team members per site); no managing-partner/administrator/marketing role publicly designated among the 6 co-equal partners, so selected the partner specifically named in the worklist's attorney list, who also has a verified direct email",verified_on_site,lawyers@hickorylaw.com,yes - consider calling instead,"Full staff roster with jobTitle for each person came from application/ld+json AboutPage/employee schema on the /about (=/team) page, not from visible page text. Direct plain mailto emails found for both Summerlin and Taylor (no obfuscation). Terry M. Taylor (terryt@hickorylaw.com) is an equally valid alternate contact - also a named partner matching the firm name."
Cassandra,Counxel Legal Firm,request@counxel.com,Phoenix,AZ,https://counxel.com/,https://counxel.com/end-your-solar-contract/,65,high,"Firm states solar contracts are 'a core part of Counxel's practice.' The San Tan Valley page states the firm has 'successfully helped Arizona homeowners resolve solar contract problems, including release from agreements obtained through misleading sales practices,' and lists service area as 'San Tan",duplicate_review,Cassandra Torres,Marketing/Outreach Coordinator,decision_maker_direct,"7 (Timothy Coons - Managing Partner/Attorney; Cameron Mitchell, Aaron Ludwig, Andrew Morrow - Partner/Attorney; Andrew Meier, John Harris - Attorney; David Baake - Of Counsel)",https://counxel.com/contact/,(480) 744-6621,B,low_signal,"Firm has a dedicated Marketing/Outreach Coordinator on staff — preferred over the managing partner per instructions. Note: every team member's email link (including hers) routes to the same general inbox, request@counxel.com; no personal address is published for her specifically.",verified_on_site,,yes - consider calling instead,"The WebFetch tool hit a Cloudflare 'verifying you are human' interstitial on this domain, but a direct fetch with a standard browser user-agent succeeded (HTTP 200) and returned full real content — not actually blocked. If firm prefers the attorney track instead, Managing Partner is Timothy Coons (https://counxel.com/team/timothy-coons/). Firm also has a 'Law Firm Manager/Director' (Porsha Brown) as another possible operations contact."
Court,"Rose Law Group, pc",crich@roselawgroup.com,Scottsdale,AZ,https://www.roselawgroup.com/,https://www.roselawgroup.com/rich-court-s/,65,medium,Court Rich's bio states he 'negotiated numerous power purchase agreements and turnkey agreements for utility scale solar generation facilities' and drafts agreements for 'distributed scale solar projects with a variety of off-takers' — this is developer/industry-side solar law (representing solar co,needs_verification,,,,,,480.505.3936,B,warm_buyer,,,,,
Sergei,Terms.Law (Sergei Tokmakov),owner@terms.law,,CA,https://terms.law/,https://terms.law/Demand-Letters/Home-Services-Construction/california-solar-fraud-demand.html,65,medium,"Dedicated guide describing the firm's own process for California solar fraud demand letters: 'After a conflict check, I draft the demand on my letterhead, prepare the supporting chronology and damages figure, send it by certified mail and email, and review the first substantive response.'",needs_verification,,,,,,,B,low_signal,,,,,
Kristi,"Kelly Guzzo, PLC",kkelly@kellyguzzo.com,Fairfax,VA,https://www.kellyguzzo.com,https://www.mnd.uscourts.gov/content/dividend-solar-finance-llc-and-fifth-third-bank-sales-and-lending-practices-litigation,62,high,"Kristi Cahoon Kelly is named as one of three Plaintiffs' Lead Counsel in MDL No. 3128 (In re Dividend Solar Finance, LLC, and Fifth Third Bank Sales and Lending Practices Litigation), per the U.S. District Court of Minnesota's own MDL docket page.",needs_verification,Kristi C. Kelly,"Attorney (name partner - firm is 'Kelly Guzzo, PLC')",decision_maker_direct,6,https://www.kellyguzzo.com/contact-us/,703-424-7570,B,gap_buyer,"name partner at a mid-size firm (6 attorneys); no dedicated marketing/administrator role found published, and her direct email is published",verified_on_site,,,"Direct partner email found on her individual bio page (not on the team/contact pages). Multi-office firm: Fairfax VA, Baltimore MD, Washington DC, Honolulu HI. Her bio does not use a formal title like 'founding partner' - just identifies her as a consumer protection/credit attorney. /about returned 404."
Naomi,"Milberg Coleman Bryson Phillips Grossman, PLLC",dataprivacy@milberg.com,Raleigh,NC,https://milberg.com,https://milberg.com/news/generac-pwrcell-defect-lawsuit/,62,high,"Major national plaintiffs' firm (formed via merger including the former Whitfield Bryson, Raleigh) with a real Raleigh, NC office at 900 W Morgan St. Filed a class action over the Generac PWRcell - a home battery system that ""stores electricity from solar panels"" sold as part of residential solar in",needs_verification,Naomi Fantauzzi,Campaign Manager,general,,https://milberg.com/contact-us/,(866) 252-0878,B,gap_buyer,"Large national firm with many offices — 'Campaign Manager' is the closest published role to marketing/case-acquisition leadership at this mass-tort firm, so preferred over guessing at a managing partner; no direct email is published for her specifically.",verified_on_site,,,"Large multi-office national plaintiffs' firm ('50+ years' of combined firm history claimed); total attorney count not explicitly stated on any page checked. Staff page lists a Campaign Manager (Naomi Fantauzzi, marketing-adjacent) and an HR Director (Wadner Molina, email confirmed) but no Marketing Director/CMO title. Two additional staff emails appear on the staff page but could not be confidently attributed to named individuals in the extracted content."
R.,Amaro Law Firm,info@amarolawfirm.com,Houston,TX,https://amarolawfirm.com,https://amarolawfirm.com,60,medium,No solar-specific page exists despite the firm already publishing DTPA consumer-protection content a solar page could sit naturally alongside.,needs_verification,R. James Amaro,Attorney & Founder,general,15,https://amarolawfirm.com/contact,1-866-445-5645,B,warm_buyer,Mid-size firm (~15 attorneys); no dedicated marketing/BD/operations role found published on site; eponymous founder is the fallback decision-maker,verified_on_site,,,"Site is a JS single-page app - /contact and /about serve the same shell as the homepage, so distinct per-page content could not be verified separately, but the general contact email/phone come from sitewide schema.org markup. This is actually a larger firm than the worklist entry suggested: site lists 15 named attorneys (Anna McMullen, Antonio Olvera, Brian Crockett (of counsel), Caleb McVicker, Chris Gadoury, Christina Barefield, David Miller, Dirk Lloyd Gustafson, Enrique Rojas, Matt Elwell, Nicholas Monroe, R. James Amaro, Steven Hooker, Will McMillan, Zachary D. Norris (of counsel)), not just R. James Amaro. No personal email found for Amaro himself, only the firm's general inbox."
George,Edwards Sutarwalla Samani LLP,george@esslawpartners.com,Houston,TX,https://esslawpartners.com/,https://www.fox26houston.com/news/local-man-says-he-was-defrauded-and-cheated-by-solar-panel-company,60,medium,"A real, media-verified solar fraud win (with an on-record dollar figure and a favorable ruling) is completely absent from the firm's own website - zero content captures the SEO, referral, or trust value of the case.",needs_verification,George Edwards III,Founder & Partner,decision_maker_direct,"8 (George Edwards III, Murtaza Sutarwalla, Zeshaan Samani, David McNeal, Auriana Siplin, Serkan Aykut, Mansoor Broachwala, Murtaza Doctor)",https://esslawpartners.com/contact-us/,(713) 565-1353,B,warm_buyer,"One of three co-founding partners (Edwards, Sutarwalla, Samani); no single partner is designated ""managing partner"" so the firm's namesake senior partner (also already the address on file) is used",verified_on_site,,yes - consider calling instead,"All three named partners (Edwards, Sutarwalla, Samani) have personal firstname@esslawpartners.com addresses published directly on their own bio pages via mailto: links -- none carries a distinguishing 'managing partner' title, all three are titled simply 'Partner'/founder. No marketing/BD/operations role found; firm has 8 attorneys total. No obfuscation."
