first_name,company_name,email,city,state,website,source_url,score,quality_confidence,personalization_note,status
D.,"The Martinez Law Firm, P.A.",dmartinez@themartinezfirm.com,Hialeah,FL,https://themartinezfirm.com,https://themartinezfirm.com/solar-panel-fraud-attorney-hialeah-florida/,100,high,"Solar-specific landing page states: ""We investigate your case thoroughly, gather the necessary documentation, and build a legal strategy with you in order to help ensure your rights are protected"" regarding solar panel fraud and disputes.",needs_verification
Dennis,Stonegate Law Firm,hello@stonegatelawfirm.com,Canton,OH,https://stonegatelawfirm.com,https://stonegatelawfirm.com/practice-areas/solar-contract-cancellation/,95,medium,"Markets a 'Solar Fraud' / solar contract cancellation practice helping homeowners exit solar agreements via federal consumer protection law (TILA rescission, FTC cooling-off period). No specific named lender defendant or case result was found on the site.",needs_verification
W.,"Hollington Law Firm, LLC",info@hollawfirm.com,Englewood,CO,https://hollingtonlawfirm.com/,https://hollingtonlawfirm.com/articles/solar-panel-scams-in-colorado,90,high,"Dedicated long-form article '/articles/solar-panel-scams-in-colorado' stating: 'We represent homeowners across Colorado who have been misled or financially harmed by solar companies.' Covers common deceptive tactics, legal rights, and protective measures specific to Colorado.",needs_verification
Patrick,"Marrs Griebel Law, LTD",info@marrslegal.com,Albuquerque,NM,https://marrslegal.com/,https://marrslegal.com/practice-areas/solar-panel-scams/,90,high,"Dedicated page '/practice-areas/solar-panel-scams/' titled 'Fighting Solar Scams Litigation in Albuquerque,' stating: 'experienced solar panel lawyers in Albuquerque are here to advocate for you' in cases involving misleading solar practices and contract disputes.",needs_verification
Jose,"The Diaz Law Firm, P.A.",jose@thediazlawfirm.com,Hialeah,FL,https://thediazlawfirm.com,https://thediazlawfirm.com/lawyer-solar-panel-fraud-lies-scams-and-unfair-contracts/,90,high,"Page names specific target companies: handles cases involving ""Titan Solar Power and MC Solar"" and states ""If you believe you have been a victim of fraud, scams, or unfair contracts by a solar panel company... The Diaz Law Firm, P.A. can help!""",needs_verification
Noel,Rivers Law Firm LLC,noel@riverslaw.net,West Caldwell,NJ,https://www.riverslaw.net,https://www.riverslaw.net/solar-panel-litigation,85,high,"Dedicated 'Solar Panel Litigation' practice page describes deceptive '$0 down / free' solar pitches, misrepresented federal tax-credit value, non-performing systems, and 25-year lease obligations that bind heirs and complicate home sales. Separately, the firm publicized a Sussex County, NJ Superior",needs_verification
Ian,Silver Golub & Teitell LLP,info@sgtlaw.com,Stamford,CT,https://www.sgtlaw.com,https://www.mnd.uscourts.gov/content/dividend-solar-finance-llc-and-fifth-third-bank-sales-and-lending-practices-litigation,77,high,"Partner Ian W. Sloss serves as interim co-lead counsel in MDL No. 3128 against Dividend Solar Finance and Fifth Third Bank. Firm's own press release covers the August 22, 2025 ruling allowing fraud and TILA claims to proceed over concealed 'platform fees' (10-30% of system value) baked into loan pri",needs_verification
Scott,Jeeves Law Group,contact@jeeveslawgroup.com,St. Petersburg,FL,https://jeeveslawgroup.com,https://jeeveslawgroup.com/solar-fraud,75,high,"Dedicated solar fraud page states: ""Solar fraud refers to deceptive practices in the solar industry that deceive consumers, waste resources, or exploit various loopholes in regulations.""",needs_verification
Todd,"Turner & Turner, P.A.",info@tandtlaw.net,Arkadelphia,AR,https://tandtlaw.net,https://arkadelphian.com/2025/02/13/arkadelphia-attorney-files-lawsuit-against-solar-panel-company-for-unlawful-sales-tactics/,75,high,"News coverage confirms attorney Todd Turner (partner at Turner & Turner) filed suit on behalf of client Felicia Smith against Nivo Solar LLC and lender Solar Mosaic LLC, alleging violations of the Arkansas Home Solicitation Sales Act and Deceptive Trade Practices Act via unlawful door-to-door sales",needs_verification
E.,Berger Montague PC,info@bergermontague.com,Minneapolis,MN,https://www.bergermontague.com,https://www.mnd.uscourts.gov/content/dividend-solar-finance-llc-and-fifth-third-bank-sales-and-lending-practices-litigation,72,high,"E. Michelle Drake (Minneapolis office) is court-designated Plaintiffs' Liaison Counsel in MDL No. 3128 against Dividend Solar Finance and Fifth Third Bank, per the D. Minnesota court's official MDL docket page.",needs_verification
Jimmy,"Young Morphis Bach & Taylor, LLP",lawyers@hickorylaw.com,Hickory,NC,https://www.hickorylaw.com,https://www.hickorylaw.com/page/pinkenergy,70,high,"General-practice NC firm; attorney Jimmy Summerlin ""has been appointed by the Bankruptcy Court as the Chapter 7 Trustee in charge of collecting and liquidating Pink Energy's assets"" following the PowerHome Solar/Pink Energy collapse. This is neutral bankruptcy-estate administration, not homeowner-si",needs_verification
Court,"Rose Law Group, pc",crich@roselawgroup.com,Scottsdale,AZ,https://www.roselawgroup.com/,https://www.roselawgroup.com/rich-court-s/,65,medium,Court Rich's bio states he 'negotiated numerous power purchase agreements and turnkey agreements for utility scale solar generation facilities' and drafts agreements for 'distributed scale solar projects with a variety of off-takers' — this is developer/industry-side solar law (representing solar co,needs_verification
Sergei,Terms.Law (Sergei Tokmakov),owner@terms.law,,CA,https://terms.law/,https://terms.law/Demand-Letters/Home-Services-Construction/california-solar-fraud-demand.html,65,medium,"Dedicated guide describing the firm's own process for California solar fraud demand letters: 'After a conflict check, I draft the demand on my letterhead, prepare the supporting chronology and damages figure, send it by certified mail and email, and review the first substantive response.'",needs_verification
George,Edwards Sutarwalla Samani LLP,george@esslawpartners.com,Houston,TX,https://esslawpartners.com/,https://www.fox26houston.com/news/local-man-says-he-was-defrauded-and-cheated-by-solar-panel-company,60,medium,"FOX 26 Houston news coverage quotes founding partner George Edwards representing a homeowner who paid over $30,000 for a solar system from Altitude Marketing (d/b/a 1-800-Solar-USA) and 'got only a defective system in return'; Edwards states 'the judge has basically said my client's claims are true",needs_verification
Karen,"Guidant Law, PLC",admin@guidant.law,Mesa,AZ,https://guidant.law/,https://guidant.law/commercial-and-civil-litigation/construction-law/registrar-of-contractors/,50,medium,"Firm states directly: 'Guidant Law represents contractors, homeowners, and other parties in ROC [Registrar of Contractors] matters throughout Arizona.' Arizona's ROC is a documented venue for solar-installer complaints, but the firm's ROC page does not name solar as a specific case type.",needs_verification
Brent,Brent S. Snyder Law,brent@brentsnyderlaw.com,Knoxville,TN,https://www.brentsnyderlaw.com,https://www.brentsnyderlaw.com/,45,low,"No solar content found. Solo Knoxville consumer-rights practitioner (over 20 years' experience) listing Bankruptcy, Consumer Law, Credit Reporting, Debt Collection, Mortgage/RESPA, and Telemarketing Abuse as practice areas - directly adjacent categories to solar loan and door-to-door sales disputes",needs_verification
Brian,Duffy & Young LLC,info@duffyandyoung.com,Charleston,SC,https://duffyandyoung.com,https://duffyandyoung.com/unfair-trade-practices,45,low,No solar content found. Established Charleston litigation firm with a dedicated South Carolina Unfair Trade Practices Act (SCUTPA) practice page - the statute under which SC solar sales-practice claims are typically brought - but no solar-specific case or page exists on the site.,needs_verification
William,Grove Ozment LLC,info@go-lawyers.com,Greenville,SC,https://go-lawyers.com,https://go-lawyers.com/defending-consumer-rights-under-scutpa/,45,low,"No solar content found. Greenville firm with a dedicated ""Defending Consumer Rights Under SCUTPA"" page covering the same unfair-trade-practices statute used in SC solar sales-practice claims, but no solar-specific case or page exists on the site.",needs_verification
Lawrence,"King Simmons, P.C.",lsimmons@kingsimmons.com,Birmingham,AL,https://kingsimmons.com,https://kingsimmons.com/,45,low,"No solar content found. Firm's own positioning: ""Fraud & Deceptive Business Practices Lawyer in Birmingham AL"" that has ""sued a vast number of large and small businesses and corporations for defrauding honest consumers"" - a directly applicable fraud-litigation practice, but no solar panel case or pa",needs_verification
Garrett,"McMillan & Black, PLLC",info@mcmillanblack.com,Richardson,TX,https://www.mcmillanblack.com,https://www.mcmillanblack.com,45,medium,"Firm's own site describes partner Garrett McMillan's experience as 'Consumer protection and defamation defense, with a substantial DTPA and Texas Citizens Participation Act practice in state and federal court.' No solar-specific case, page, or mention found anywhere on the site as of this research.",needs_verification
Barry,"Clarkson & Associates, LLC",mheinz@clarksonlegal.com,St. George,UT,https://www.clarksonlegal.com/,https://www.clarksonlegal.com/our-firm,35,medium,"Dual-state firm with offices in St. George, UT and Mesquite, NV practicing Construction Law and 'Contracts and Transactions' — directly relevant practice categories for solar installation/contract disputes — but no solar-specific page or case was found on the firm's site.",duplicate_review
Patrick,"Keegan & Baker, LLP",info@keeganbaker.com,San Diego,CA,https://www.keeganbaker.com/,https://www.cptgroupcaseinfo.com/vivintsettlement/Class%20Notice.pdf,35,medium,"Named as Class Counsel (contact emails jbaker@keeganbaker.com and jweber@keeganbaker.com listed directly in the notice) in a Vivint Solar class action settlement notice (In re Vivint Solar). The firm's own website content read does not itself market a solar practice area, so this is confirmed via th",needs_verification
Stuart,"Price Law Group (Resolve Law Group, APC)",info@resolvelawgroup.com,Scottsdale,AZ,https://pricelawgroup.com/,https://pricelawgroup.com/,35,medium,"Firm's litigation headquarters is in Scottsdale, AZ (corporate HQ in Encino, CA). Practices consumer financial protection, debt/bankruptcy resolution, and timeshare exit — the same 'exit service' model applied to solar by companies elsewhere — but no solar loan/lease page or case was found on the fi",needs_verification
Aaron,Belzer Law,Aaron@BelzerLawFirm.com,Boulder,CO,https://belzerlawfirm.com/,https://belzerlawfirm.com/about/,30,low,"Firm litigates 'complex contract, property, and tort disputes' and HOA law from Boulder and Denver offices. A site search for 'solar' on the firm's own site returned zero results ('No posts found'), confirming no solar-specific work is currently marketed.",duplicate_review
Ari,"Marcus & Zelman, LLC",info@marcuszelman.com,Asbury Park,NJ,https://www.marcuszelman.com,https://www.marcuszelman.com/,30,low,"Self-described 'consumer rights law firm' handling individual and class-action consumer litigation (unlawful repossession, robocalls/texts, credit reporting errors); no solar-specific content found on the homepage reviewed.",needs_verification
,Murray Murphy Moul + Basil LLP,info@mmmb.com,Columbus,OH,https://www.mmmb.com,https://www.mmmb.com/,30,low,"Columbus firm explicitly describes its practice as 'securities, consumer and insurance class actions, as well as complex business and real estate disputes'; no solar-specific content found on the homepage reviewed.",needs_verification
Joe,Zonies Law LLC,info@zonieslaw.com,Denver,CO,https://www.zonieslaw.com/,https://www.zonieslaw.com/,30,low,"Denver mass-tort, class-action, and commercial-litigation firm (product liability, medical devices, drug injuries). No solar-specific case, page, or mention was found on the firm's site — fit here is speculative, based on class-action/commercial-litigation capability rather than any solar evidence.",needs_verification
,Wolf Haldenstein Adler Freeman & Herz LLP,info@whafh.com,New York,NY,https://www.whafh.com,https://www.whafh.com/,25,low,"National firm with 'consumer protection' and 'consumer litigation' as named practice areas (alongside securities, antitrust, and shareholder derivative litigation) and offices in both New York and Chicago, giving it relevance to two priority states in this lane; no solar-specific content found on th",needs_verification
